День;Раздел;Выполненная работа;Что использовали из исходных материалов;Что добавили или изменили;Результат
День 1;Анализ и подготовка приложения;Изучили старый интерфейс приложения, экраны и пользовательские сценарии;AppMockUp Screenshots.zip и мобильная часть invotaxi-master (2) (1).zip;Определили структуру пассажира, водителя, авторизации, заказа, поездки, профиля и поддержки;Сформирован единый сценарий приложения пассажира и водителя
День 1;Flutter-верстка;Собрали базовую навигацию и общий каркас мобильного приложения;Визуальные решения из старого приложения и UI-материалы из архивов;Созданы Flutter-экраны выбора роли, входа по номеру, онбординга и нижней навигации;Приложение стало единым для пассажира и водителя
День 1;Пассажирский интерфейс;Сверстали главный экран заказа такси;Референсы экранов заказа и карты из мобильной версии старого проекта;Добавлены поля точки посадки и назначения, карта, сопровождение, планирование поездки и кнопка заказа;Пассажир может пройти путь от входа до создания заказа
День 1;Пассажирский интерфейс;Сверстали ожидание водителя и активную поездку;Структура экранов поездки из legacy mobile API и driver/passenger сценариев;Добавлены статусы заказа, карточка поездки, отмена, чат, экстренная помощь, жалоба и оценка;Закрыт основной пользовательский цикл поездки
День 1;Водительский интерфейс;Сверстали рабочие экраны водителя;driver_app из invotaxi-master (2) (1).zip;Добавлены онбординг водителя, список заказов, экран подачи, шаги поездки, завершение и форс-мажор;Водитель получил отдельный рабочий сценарий
День 1;Общий UI и стиль;Настроили визуальную систему приложения;Референсы из старого мобильного приложения и предоставленных UI-материалов;Добавлены светлая и темная палитры, кнопки, поля, карточки, уведомления, заголовки и общие виджеты;Интерфейс приведен к единому стилю
День 1;Профиль и документы;Сверстали профиль, личную информацию, поддержку и юридические страницы;Структура legal/profile экранов из старого клиента;Добавлены редактирование имени, история поездок, уведомления, поддержка, политика и пользовательское соглашение;Приложение подготовлено к реальному пользовательскому сценарию
День 1;Очистка UI;Проверили интерфейс на лишние элементы и визуальные моки;Старые изображения и тестовые аватары;Аватарки удалены, имя редактируется самим пользователем, тестовые изображения не используются;Профиль стал проще и соответствует требованиям продукта
День 2;Архитектура backend;Спроектировали новый единый backend вместо разрозненной legacy-структуры;Django backend из invotaxi-master использован как функциональный reference, без копирования целиком;Собран FastAPI backend с разделением API, domain, services, workers и routing;Появилась поддерживаемая структура проекта
День 2;База данных;Подключили постоянное хранение данных;Модели пользователей, заказов, водителей и диспетчеризации из старого проекта;Добавлены PostgreSQL, SQLAlchemy-модели, миграции Alembic и профили client/driver;Данные сохраняются после перезапуска
День 2;Авторизация;Реализовали вход по казахстанскому номеру и паролю;Legacy auth/mobile API и настройки dev-доступа из старого ZIP;Добавлены JWT access/refresh, обновление токенов, выход, сохранение номера и временный пароль 1111 в dev-режиме;Авторизация работает между приложением, сайтом и API
День 2;Роли и доступы;Разделили права пользователей;Роли и permissions из invotaxi-master;Добавлены роли администратора, диспетчера, водителя и пассажира;API и сайт показывают доступные разделы по роли
День 2;Сотрудники;Добавили тестовые учетные записи сотрудников;Номера и имена, переданные заказчиком;Созданы Диар и Айболат как администраторы, Арсен и Бекболат как диспетчеры, пароль 1111;Команда может войти в систему локально
День 2;Заказы;Связали создание, просмотр, изменение, отмену и статусы заказов;Мобильные endpoint-документы и модели заказов из старого backend ZIP;Добавлены координаты подачи и назначения, сопровождение, расписание, статусы и события заказа;Заказы проходят через единый API
День 2;Водители;Добавили профиль и рабочее состояние водителя;driver_app API и legacy driver endpoints;Добавлены online/offline, смена, вместимость, регион, автомобиль, госномер и список назначенных заказов;Диспетчер видит актуальных водителей
День 2;Диспетчеризация;Перенесли логику распределения в новый backend;invotaxi_routing_toolkit_1 (1).zip: routing_core, geo_utils, pooling, minivan_runs, rental_builder, lunch и region_builder;Собран routing-модуль с правилами временных окон, вместимости, минивэнов, аренды, пулинга, обеда и валидации;Распределение стало отдельным сервисом и ARQ job
День 2;Онлайн-распределение;Подключили фоновые задачи распределения;Идеи dispatch jobs, matching и progress из legacy Django backend;Добавлены Redis, ARQ worker, job status, прогресс и результаты планирования;Длительные операции не блокируют API
День 2;Realtime;Подключили обновления без постоянного ручного обновления;WebSocket-архитектура из старого ZIP;Добавлены WebSocket-события заказа, статуса, диспетчеризации и онлайн-позиций;Сайт и приложение получают изменения оперативно
День 2;GPS backend;Добавили прием координат водителя;Существующий driver_location_sync и GPS endpoint из старого проекта;Добавлены Redis GEO-позиции, TTL, проверка точности, аномалий и сохранение трека;Диспетчер видит только актуальные координаты
День 3;Подключение приложения;Заменили локальные моки на реальные запросы к backend;API-контракт из legacy mobile API и ключи Yandex из старого ZIP;BackendApi подключен к auth, profile, orders, history, driver status, location и WebSocket;Приложение работает с реальными данными
День 3;Определение местоположения;Настроили автоматическое определение текущего города;Yandex Maps/Geocoder key из legacy ZIP;Добавлен PreciseLocationService, проверка разрешений, повторный сбор GPS и выбор лучшей точки;Показывается фактическая точность GPS
День 3;Адресный поиск;Убрали привязку только к Атырау;Yandex Geocoder и Suggest API из старого проекта;Город определяется по GPS, поиск ограничивается bbox найденного города, адрес проходит проверку страны KZ и города;Поддержаны города Казахстана
День 3;Точность геопозиции;Усилили контроль точности;Geolocator и разрешения из Flutter/legacy mobile конфигурации;Android Fine Location, iOS Precise Location, несколько измерений, прием водительских точек только до 5 м;Снижен риск отправки неверной позиции
День 3;Подключение сайта;Соединили React-диспетчерскую с новым FastAPI backend;frontend.zip и frontend-часть invotaxi-master;Подключены авторизация, заказы, водители, пассажиры, карта, диспетчеризация, аналитика и отчеты;Сайт работает через единый API
День 3;Сайт и UI;Привели админ-панель к рабочей структуре;UI/UX и компоненты из frontend.zip;Удалены неиспользуемые Calls, Cities, RegionModal и старые RegionsMap, оставлены рабочие разделы;Убраны лишние моки и дубли
День 3;Аналитика;Исправили отображение статистики;Существующие analytics API и компоненты frontend.zip;Исправлены даты, диапазоны, загрузка заказов и пустые состояния;Панель аналитики не падает с Invalid time value
День 3;Документы и публикация;Подготовили юридические и магазинные материалы;Структура legal страниц из legacy frontend/mobile;Добавлены политика, пользовательское соглашение, удаление аккаунта, store checklist и data safety;Проект подготовлен к дальнейшей публикации
День 3;Мониторинг и нагрузка;Подготовили инфраструктуру наблюдения и нагрузочного тестирования;Требования P9 и существующие backend/loadtest материалы;Добавлены metrics, Prometheus/Grafana compose, alert rules, k6 day peak, матрица 2cpu/4g и 4cpu/8g;Есть база для проверки нагрузки 1000–1500 пользователей
День 3;Контейнеризация;Собрали все сервисы одной командой;Docker-конфигурация из старого проекта и новая FastAPI структура;Настроены API, worker, PostgreSQL, Redis, frontend, миграции и seed при запуске;Проект запускается через docker compose
День 3;Проверка качества;Проверили код и реальные сценарии;Тестовые сценарии legacy проекта использованы как ориентир;Пройдено 93 backend-теста, Flutter analyze/test без ошибок, Android APK собран, compose health проверен;Система готова к демонстрации и дальнейшему тестированию
Итог;Архитектура;Разделили конечный проект на три независимые части;Старые ZIP использованы как reference и источник совместимых ключей, а не как готовый код для слепкого копирования;backend, frontend и app работают через согласованный API-контракт;Проект получил понятную конечную структуру
Итог;Результат;За три рабочих дня собрали рабочую основу InvoTaxi;Использованы UI, legacy API, dispatch-идеи, routing toolkit и картографические ключи;Получены мобильное приложение, диспетчерский сайт, backend, GPS, роли, заказы, распределение, мониторинг и тесты;Готовая база для пилотного запуска и нагрузочного прогона
